index,target,amountRaw,amountDecimal
136,0x6A2707Fa22439df6CD7529c52299F2B6CF9B0559,7952587749905866630218062,7952587.749905866630218062
137,0x6a607C0Ae095399FDA40812A3a7E6064faCd2Ee0,3970624260270684579430118,3970624.260270684579430118
138,0x6aE8afF5af0E07d2B32610BAaEd7536FAf1AAF76,13132139315038611763619986,13132139.315038611763619986
139,0x6b06FD0181285Dd1BD4b3cfacE9E4a6685DE0C1a,477690374884679313244061,477690.374884679313244061
140,0x6cB0885251A1deAb7D663852fD101a2471bfCD38,127426443337820903605689,127426.443337820903605689
141,0x6Da031eb2289153b7f622b54671315A15D898faE,9957056713267841799912194,9957056.713267841799912194
142,0x6dB436C9857E162f476fc520C9fc0e18f85316bD,173952235327030929278327,173952.235327030929278327
143,0x70432528a370aC39823358DC0c714bf5A4d434b0,150000000000000000000000,150000.000000000000000000
144,0x711281C1b26AaEd86E40e4cAaf76c1962B45E161,6803372206941264306728831,6803372.206941264306728831
145,0x728aad5445E7a1727b67B5b30Aa153f5851ae274,4816132443141975377385196,4816132.443141975377385196
146,0x73547bB64c791827d5d09B9864345De5E6e316FB,13132139315038611763619986,13132139.315038611763619986
147,0x73c121D572E065c8B6FA6aCeC6B40DefFB62E1dF,17722507040808193693846419,17722507.040808193693846419
148,0x7408340eCFe1e5d285857f1AE26dc4c0eF910C69,278033783402852727645973,278033.783402852727645973
149,0x741e50E39021D0F8e3d66BFeBe996D618b9c967b,5000159858772878299727734,5000159.858772878299727734
150,0x741eC044Bfab0447c61d775A467c4aedab13F58A,100326210762487065796726,100326.210762487065796726
151,0x750e8FCE838fa7Db0e15e2732f2733e989102181,2755009002160185272258866,2755009.002160185272258866
152,0x75Ad5328a6501F14410911bBbFf1dcdc916b92F1,392940857036383194357194,392940.857036383194357194
153,0x75cDDf75972a3F825FCAa2Cc50de8CA011194ED4,4221261978833261398142410,4221261.978833261398142410
154,0x76C914796d4C213Ff881e026Eab5AFE3299Af8Fe,1393232493213691599050751,1393232.493213691599050751
155,0x779F37C9A5C59ef07c5EbEa9bbB2fA2FDD3dc1f6,484384427307354370651375,484384.427307354370651375
156,0x77fe689B5775666Eb7Fe9Ec95Fb0b56058dba93a,1219382700805459738952463,1219382.700805459738952463
157,0x79A92c0Adbf4A86318398da1Bc9CF824eD4d93cE,42055291192976193416519,42055.291192976193416519
158,0x7a44834D4dEC3F21a341dE51365fDefdD41faA98,357258118697889870340862,357258.118697889870340862
159,0x7b0b305AD9eB29ab520efE5D2f746d6EFb8F1094,163457022808265882083314,163457.022808265882083314
160,0x7C2809F12f1Fb4603663843595325CfA299B87d1,10318000000000000000000,10318.000000000000000000
161,0x7CA6d3f2e6C28EEf823CCc51276B61385930BBB2,283382321867302292446937,283382.321867302292446937
162,0x7CBbbE190BBa4cb41Fbd6a8B1dAeA9cf1f6CC2Cb,1003662155287492314592674,1003662.155287492314592674
163,0x7e519740A47fcAe24ae904EfdA8B4df71a637750,11350703734949994317538890,11350703.734949994317538890
164,0x7Ee9528965a14CDBF512630651d6b8458B51365F,624361513959889437025326,624361.513959889437025326
165,0x7f49a9e7C956035319F0F84E6d00394501906AB9,79235307084139852157029,79235.307084139852157029
166,0x80BcF4D166A036d220f8fFFb626035aFBcB0f471,39312371021783144059389,39312.371021783144059389
167,0x80C564a0999d7349A618b8161f96a52f778bb11C,186998627447509522488403,186998.627447509522488403
168,0x813728792c65E1Bd3943BA6010EE8722a89B0e26,816639150128901034259922,816639.150128901034259922
169,0x818d1b45A6E6bFe6Cd5BB662B76361C3c7Db72A8,6284114262779135807130558,6284114.262779135807130558
170,0x81e7e0D329CCF00B7EBfa3Bd22a50F27A7B3d775,7369761817968403332404215,7369761.817968403332404215
171,0x829fa223EDdB1270549D4d93e9504E7eFE18c0AE,25555078360906065082515,25555.078360906065082515
172,0x82A23D4f280d7fCf883A17082A6156D2CaEBb889,13132139315038611763619986,13132139.315038611763619986
173,0x82E159d63E585067E9FA3a4BBA7d992fBC667751,4040884424334816435403644,4040884.424334816435403644
174,0x82fC58011D50bfda0Dd10bbeCAB41803A7758939,16607736188233906094033983,16607736.188233906094033983
175,0x8330707813028106397307797CEdeF302B9307A3,138339973939159617182356,138339.973939159617182356
176,0x849D5c28450Ea803f60dE9Feebd1a14FEFa1e352,997556527856848478891688,997556.527856848478891688
177,0x864676Efd5D4327DA25fb7a10929faE273f6bdA8,4020048385630884604479,4020.048385630884604479
178,0x86aDCe3344E0B7A33aa8DFe80076a2Ce5fAa535B,4740555311407356484894219,4740555.311407356484894219
179,0x8adabd5a62b4002691E301FF21876C6eA9806bfa,105364030243666057149488,105364.030243666057149488
